background,alpha,source_index,source_name,source_hex,output_hex,clipped
#FFFFFF,0.6,1,orange,#EE7733,#F5BDAD,False
#FFFFFF,0.6,2,blue,#0077BB,#AABDDA,False
#FFFFFF,0.6,3,cyan,#33BBEE,#ADDAF5,False
#FFFFFF,0.6,4,magenta,#EE3377,#F5ADBD,False
#FFFFFF,0.6,5,red,#CC3311,#E2ADAA,False
#FFFFFF,0.6,6,teal,#009988,#AACAC3,False
#FFFFFF,0.6,7,grey,#BBBBBB,#DADADA,False
#FFFFFF,0.9,1,orange,#EE7733,#F08D65,False
#FFFFFF,0.9,2,blue,#0077BB,#598DC3,False
#FFFFFF,0.9,3,cyan,#33BBEE,#65C3F0,False
#FFFFFF,0.9,4,magenta,#EE3377,#F0658D,False
#FFFFFF,0.9,5,red,#CC3311,#D2655B,False
#FFFFFF,0.9,6,teal,#009988,#59A79A,False
#FFFFFF,0.9,7,grey,#BBBBBB,#C3C3C3,False
#FFFFFF,1,1,orange,#EE7733,#EE7733,False
#FFFFFF,1,2,blue,#0077BB,#0077BB,False
#FFFFFF,1,3,cyan,#33BBEE,#33BBEE,False
#FFFFFF,1,4,magenta,#EE3377,#EE3377,False
#FFFFFF,1,5,red,#CC3311,#CC3311,False
#FFFFFF,1,6,teal,#009988,#009988,False
#FFFFFF,1,7,grey,#BBBBBB,#BBBBBB,False
#FFFFFF,1.1,1,orange,#EE7733,#EC5A00,True
#FFFFFF,1.1,2,blue,#0077BB,#005AB2,True
#FFFFFF,1.1,3,cyan,#33BBEE,#00B2EC,True
#FFFFFF,1.1,4,magenta,#EE3377,#EC005A,True
#FFFFFF,1.1,5,red,#CC3311,#C60000,True
#FFFFFF,1.1,6,teal,#009988,#008973,True
#FFFFFF,1.1,7,grey,#BBBBBB,#B2B2B2,False
#FFFFFF,1.4,1,orange,#EE7733,#E70000,True
#FFFFFF,1.4,2,blue,#0077BB,#000094,True
#FFFFFF,1.4,3,cyan,#33BBEE,#0094E7,True
#FFFFFF,1.4,4,magenta,#EE3377,#E70000,True
#FFFFFF,1.4,5,red,#CC3311,#B20000,True
#FFFFFF,1.4,6,teal,#009988,#003D00,True
#FFFFFF,1.4,7,grey,#BBBBBB,#949494,False
#FFFFFF,2,1,orange,#EE7733,#DB0000,True
#FFFFFF,2,2,blue,#0077BB,#000000,True
#FFFFFF,2,3,cyan,#33BBEE,#0000DB,True
#FFFFFF,2,4,magenta,#EE3377,#DB0000,True
#FFFFFF,2,5,red,#CC3311,#7E0000,True
#FFFFFF,2,6,teal,#009988,#000000,True
#FFFFFF,2,7,grey,#BBBBBB,#000000,True
#181818,0.6,1,orange,#EE7733,#BE5F2A,False
#181818,0.6,2,blue,#0077BB,#0C5F95,False
#181818,0.6,3,cyan,#33BBEE,#2A95BE,False
#181818,0.6,4,magenta,#EE3377,#BE2A5F,False
#181818,0.6,5,red,#CC3311,#A32A14,False
#181818,0.6,6,teal,#009988,#0C7A6C,False
#181818,0.6,7,grey,#BBBBBB,#959595,False
#181818,0.9,1,orange,#EE7733,#E37231,False
#181818,0.9,2,blue,#0077BB,#0372B3,False
#181818,0.9,3,cyan,#33BBEE,#31B3E3,False
#181818,0.9,4,magenta,#EE3377,#E33172,False
#181818,0.9,5,red,#CC3311,#C33112,False
#181818,0.9,6,teal,#009988,#039282,False
#181818,0.9,7,grey,#BBBBBB,#B3B3B3,False
#181818,1,1,orange,#EE7733,#EE7733,False
#181818,1,2,blue,#0077BB,#0077BB,False
#181818,1,3,cyan,#33BBEE,#33BBEE,False
#181818,1,4,magenta,#EE3377,#EE3377,False
#181818,1,5,red,#CC3311,#CC3311,False
#181818,1,6,teal,#009988,#009988,False
#181818,1,7,grey,#BBBBBB,#BBBBBB,False
#181818,1.1,1,orange,#EE7733,#F87C35,False
#181818,1.1,2,blue,#0077BB,#007CC3,True
#181818,1.1,3,cyan,#33BBEE,#35C3F8,False
#181818,1.1,4,magenta,#EE3377,#F8357C,False
#181818,1.1,5,red,#CC3311,#D53510,False
#181818,1.1,6,teal,#009988,#00A08E,True
#181818,1.1,7,grey,#BBBBBB,#C3C3C3,False
#181818,1.4,1,orange,#EE7733,#FF8A3A,True
#181818,1.4,2,blue,#0077BB,#008AD9,True
#181818,1.4,3,cyan,#33BBEE,#3AD9FF,True
#181818,1.4,4,magenta,#EE3377,#FF3A8A,True
#181818,1.4,5,red,#CC3311,#EC3A0D,False
#181818,1.4,6,teal,#009988,#00B19E,True
#181818,1.4,7,grey,#BBBBBB,#D9D9D9,False
#181818,2,1,orange,#EE7733,#FFA244,True
#181818,2,2,blue,#0077BB,#00A2FD,True
#181818,2,3,cyan,#33BBEE,#44FDFF,True
#181818,2,4,magenta,#EE3377,#FF44A2,True
#181818,2,5,red,#CC3311,#FF4407,True
#181818,2,6,teal,#009988,#00D0B9,True
#181818,2,7,grey,#BBBBBB,#FDFDFD,False
