suite,background,method,n,improved,unchanged,worsened,clipped,gained3,lost3,gained45,lost45,mean_gain,min_gain,max_gain,background_distance_violations
full,#000000,1,16777216,0,16777216,0,0,0,0,0,0,0.0,0.0,0.0,0
full,#000000,1.05,16777216,16777208,8,0,1152216,180692,0,292518,0,0.29844860986641697,0.0,0.9473065367332012,0
full,#000000,1.1,16777216,16777208,8,0,2071091,343234,0,557867,0,0.5774906216225341,0.0,1.8093223487822954,0
full,#000000,1.2,16777216,16777208,8,0,3632960,624101,0,1021016,0,1.0851252197099737,0.0,3.323079507098619,0
full,#000000,1.4,16777216,16777208,8,0,6129216,1055355,0,1745190,0,1.9404806416934182,0.0,5.686129989870386,0
full,#000000,difference,16777216,0,16777216,0,0,0,0,0,0,0.0,0.0,0.0,0
full,#000000,exclusion,16777216,0,16777216,0,0,0,0,0,0,0.0,0.0,0.0,0
full,#111111,1,16777216,0,16777216,0,0,0,0,0,0,-8.521945542766312e-20,-1.7763568394002505e-15,4.440892098500626e-16,0
full,#111111,1.05,16777216,16772655,27,4534,1338967,196665,0,319096,0,0.2634656631821296,-0.004455900064880947,0.8467714349296251,0
full,#111111,1.1,16777216,16771761,27,5428,2428309,373887,0,608940,0,0.5096928137108389,-0.008497022452437442,1.6168500149104652,0
full,#111111,1.2,16777216,16770410,27,6779,4290048,681026,0,1115767,0,0.9573281452205292,-0.015653640014361425,2.9679297674123113,0
full,#111111,1.4,16777216,16768313,27,8876,6838841,1154881,0,1909856,0,1.710714666715837,-0.027039885508924222,5.108052209622098,0
full,#111111,difference,16777216,424198,0,16353018,0,1820,189192,1227,179960,-0.09318883813185634,-0.11210783248405454,0.11210783248405454,0
full,#111111,exclusion,16777216,13061039,0,3716177,0,162625,0,117335,0,0.03797448861507454,-0.11210783248405454,0.09967649955852331,0
full,#181818,1,16777216,0,16777216,0,0,0,0,0,0,4.3184121931188384e-19,-8.881784197001252e-16,1.7763568394002505e-15,0
full,#181818,1.05,16777216,16768104,27,9085,1524224,206543,0,332128,42,0.24486877895275116,-0.006809874542441863,0.7932589937343053,0
full,#181818,1.1,16777216,16765881,27,11308,2604728,393196,0,633384,81,0.47366238062456145,-0.013073861417123522,1.5144015738857064,0
full,#181818,1.2,16777216,16761713,27,15476,4610216,716915,0,1159364,136,0.8894639937246956,-0.024262774540797727,2.7788920162233914,0
full,#181818,1.4,16777216,16755803,27,21386,7249088,1217778,0,1982582,222,1.5887923679471407,-0.04243740533020057,4.779373899310752,0
full,#181818,difference,16777216,706144,0,16071072,0,4320,292472,2734,279368,-0.13719049594295918,-0.18268117404441586,0.18268117404441586,0
full,#181818,exclusion,16777216,13045792,0,3731424,0,256372,0,180264,0,0.05786014974832813,-0.18268117404441586,0.15164182608579835,0
full,#182028,1,16777216,0,16777216,0,0,0,0,0,0,5.308911345814336e-19,-8.881784197001252e-16,1.7763568394002505e-15,0
full,#182028,1.05,16777216,16761011,27,16178,1708240,219766,0,322992,0,0.223457054157836,-0.009174576733044004,0.7315373537323815,0
full,#182028,1.1,16777216,16754991,27,22198,2954176,418676,0,617520,0,0.43219843809855096,-0.01771715561990095,1.3962367947344596,0
full,#182028,1.2,16777216,16745082,27,32107,5030656,764565,0,1135379,0,0.8114249357384263,-0.03299283663726005,2.5608544951342527,0
full,#182028,1.4,16777216,16730800,27,46389,7912648,1302375,0,1954938,0,1.4487751578258603,-0.05771499138351599,4.40027393877199,0
full,#182028,difference,16777216,1107609,0,15669607,0,12082,417077,3571,378179,-0.18307504395342128,-0.2760830073832996,0.2760830073832996,0
full,#182028,exclusion,16777216,12915926,0,3861290,0,374192,0,244065,0,0.08018397168231861,-0.2760830073832996,0.21237814814433853,0
full,#19221C,1,16777216,0,16777216,0,0,0,0,0,0,-2.4884094219767433e-17,-1.7763568394002505e-15,4.440892098500626e-16,0
full,#19221C,1.05,16777216,16759673,27,17516,1585728,221243,0,322040,0,0.22117716332188078,-0.010031178371989302,0.7249599320324371,0
full,#19221C,1.1,16777216,16752672,27,24517,2779936,421402,0,615644,0,0.4277804065935384,-0.019419048467820055,1.3836444594929738,0
